,0,1,2,3,4,5,6,7,8,9,10
57,-0.24538253,-0.41615823,-0.5819785,-0.98084337,-1.0582726,-1.1357241,-1.2133943,-1.2911644,-1.533907,-1.6116915,-1.6842656
58,-0.24344116,-0.4139503,-0.5797706,-0.9798919,-1.0573214,-1.1347708,-1.2124388,-1.2901548,-1.532937,-1.6107514,-1.6834188
59,-0.24150239,-0.41174582,-0.5775654,-0.97894204,-1.0563715,-1.1338186,-1.2114841,-1.2891461,-1.5319679,-1.6098115,-1.6825731
60,-0.23956546,-0.40954313,-0.5753628,-0.97799325,-1.0554225,-1.1328677,-1.2105308,-1.2881395,-1.5309999,-1.6088731,-1.6817279
61,-0.23763128,-0.40734363,-0.57316375,-0.9770453,-1.054475,-1.1319181,-1.2095789,-1.2871337,-1.5300333,-1.6079363,-1.6808841
62,-0.23569956,-0.4051466,-0.57096714,-0.9760956,-1.0535284,-1.1309693,-1.2086278,-1.2861284,-1.5290675,-1.6069994,-1.6800413
63,-0.23376909,-0.40295243,-0.56877285,-0.97514576,-1.0525827,-1.1300223,-1.2076783,-1.2851251,-1.5281029,-1.6060653,-1.6791998
64,-0.23184215,-0.40076062,-0.5665804,-0.97419775,-1.0516388,-1.1290755,-1.2067294,-1.2841227,-1.5271392,-1.605131,-1.6783594
65,-0.22991836,-0.39857268,-0.5643933,-0.9732512,-1.0506959,-1.1281312,-1.205782,-1.2831714,-1.5261774,-1.6041995,-1.6775204
66,-0.22799604,-0.39638698,-0.5622064,-0.9723053,-1.0497539,-1.1271868,-1.2048359,-1.2822368,-1.5252166,-1.6032676,-1.6766815
67,-0.22607577,-0.39420334,-0.5600241,-0.9713606,-1.0488137,-1.1262444,-1.2038909,-1.2813033,-1.524257,-1.6023375,-1.675844
68,-0.22415778,-0.39202195,-0.5578422,-0.97041714,-1.0478736,-1.125303,-1.2029473,-1.2803704,-1.5232979,-1.6014081,-1.6750071
69,-0.22224282,-0.38984448,-0.5556648,-0.9694749,-1.0469353,-1.1243647,-1.2020041,-1.27944,-1.5223408,-1.6004804,-1.6741722
70,-0.22032952,-0.3876687,-0.55348885,-0.96853375,-1.0459979,-1.1234277,-1.2010623,-1.2785095,-1.5213845,-1.5995536,-1.6733372
71,-0.21841912,-0.3854962,-0.5513164,-0.96759397,-1.0450617,-1.1224911,-1.2001216,-1.2775807,-1.5204296,-1.5986277,-1.6725041
72,-0.21651073,-0.38332576,-0.54914534,-0.9666551,-1.0441267,-1.1215563,-1.1991824,-1.2766529,-1.5194757,-1.5977033,-1.6716717
73,-0.21460474,-0.38115868,-0.54697806,-0.96571726,-1.0431933,-1.1206224,-1.1982441,-1.2757264,-1.5185229,-1.5967798,-1.6708409
74,-0.21270148,-0.37899378,-0.54481447,-0.96478087,-1.0422608,-1.1196897,-1.1973073,-1.2748009,-1.5175712,-1.5958575,-1.6700102
